ааб	AA P <SPACE>
нэгэдүүлхэ	N E Gr EH D UUs L H EH <SPACE>
нэгэдүүлэгдэһэн	N E Gr EH D UUs L EH G D EH HH EH NG <SPACE>
нэгэл	N E Gr EH L <SPACE>
нэгэмнай	N E Gr EH M N EE <SPACE>
нэгэн	N E Gr EH NG <SPACE>
нэгэндэ	N E Gr EH N D EH <SPACE>
нэгэниинь	N E Gr EH NJ II NJ <SPACE>
нэгэтэ	N E Gr EH T EH <SPACE>
нэгэшье	N E Gr EH SH J EH <SPACE>
нэмэжэ	N E M EH ZH EH <SPACE>
нэн	N E NG <SPACE>
нэрлээд	N E R L EE T <SPACE>
нэрлүүлжэ	N E R L UUs L ZH EH <SPACE>
нэрые	N E R Y J EH <SPACE>
нэрэ	N E R EH <SPACE>
нэрэеэ	N E R EH J EE <SPACE>
нэрэмжэтэ	N E R EH M ZH EH T EH <SPACE>
нэрэнэ	N E R EH N EH <SPACE>
нэрэтэй	N E R EH T EE <SPACE>
нэрэхэ	N E R EH H EH <SPACE>
нэрээ	N E R EE <SPACE>
нэха	N E H EH <SPACE>
нээгдээ	N EE G D EE <SPACE>
нээжэ	N EE ZH EH <SPACE>
нээрээшье	N EE R EE SH J EH <SPACE>
нээхэ	N EE H EH <SPACE>
нээхэдэ	N EE H EH D EH <SPACE>
нээхэдэнь	N EE H EH D EH NJ <SPACE>
нээһэн	N EE HH EH NG <SPACE>
нюдэндэ	NJ Uh D EH N D EH <SPACE>
нюдэниинь	NJ Uh D EH NJ II NJ <SPACE>
нюдэнсоошни	NJ Uh D EH N S OOh SH NJ I <SPACE>
нюрган	NJ Uh R Gr EH NG <SPACE>
нютаг	NJ Uh T EH K <SPACE>
нютагаа	NJ Uh T EH Gr AA <SPACE>
нютагаархидынь	NJ Uh T EH Gr AA R HJ I D Y NJ <SPACE>
нютагай	NJ Uh T EH Gr EE <SPACE>
нютагайнгаа	NJ Uh T EH Gr EE NG G AA <SPACE>
нютагайнь	NJ Uh T EH Gr EE NJ <SPACE>
нютагайхид	NJ Uh T EH Gr EE HJ I T <SPACE>
нютагайхидайнгаа	NJ Uh T EH Gr EE HJ I D EE NG G AA <SPACE>
нютагни	NJ Uh T EH G NJ I <SPACE>
нютагта	NJ Uh T EH K T EH <SPACE>
нютагтаа	NJ Uh T EH K T AA <SPACE>
нютагтай	NJ Uh T EH K T EE <SPACE>
нютагтамнай	NJ Uh T EH K T EH M N EE <SPACE>
нютагтань	NJ Uh T EH K T EH NJ <SPACE>
нютагууд	NJ Uh T EH Gr UUh T <SPACE>
нютагуудаар	NJ Uh T EH Gr UUh D AA R <SPACE>
нютагые	NJ Uh T EH Gr Y J EH <SPACE>
нютагһаа	NJ Uh T EH G HH AA <SPACE>
нюурта	NJ UUh R T EH <SPACE>
нюусануудаар	NJ Uh S EH N UUh D AA R <SPACE>
нягта	NJ A K T EH <SPACE>
нёдондо	NJ O D EH N D EH <SPACE>
нүгөө	N Us Gr OOs <SPACE>
нүлөө	N Us L OOs <SPACE>
нүлөөлэлгдэнэ	N Us L OOs L E L G D EH N EH <SPACE>
нүлөөлһэн	N Us L OOs L HH EH NG <SPACE>
нүхэд	N Us H EH T <SPACE>
нүхэдни	N Us H EH D NJ I <SPACE>
нүхэдынь	N Us H EH D Y NJ <SPACE>
нүхэр	N Us H EH R <SPACE>
нүхэртэ	N Us H EH R T EH <SPACE>
нүхэртэеэ	N Us H EH R T EH J EE <SPACE>
нүхэртэй	N Us H EH R T EE <SPACE>
нүхэрэй	N Us H EH R EE <SPACE>
нүхэрэйнгөө	N Us H EH R EE NG G OOs <SPACE>
нүхэсэлэй	N Us H EH S EH L EE <SPACE>
нүүдэлшэ	N UUs D EH L SH EH <SPACE>
нүүдэлшэдэй	N UUs D EH L SH EH D EE <SPACE>
обитаемый	O BJ I T A J E M Y J <SPACE>
обогууд	O V EH Gr UUh T <SPACE>
обоодоо	O V OOh D OOh <SPACE>
обёоржо	O VJ OOh R ZH EH <SPACE>
огто	O K T EH <SPACE>
одна	O D N EH <SPACE>
одо	O D EH <SPACE>
одоевич	O D O J E VJ I CH <SPACE>
одоо	O D OOh <SPACE>
одоол	O D OOh L <SPACE>
одхон	O T H EH NG <SPACE>
озеро	O ZJ EH R O <SPACE>
ой	OE <SPACE>
ойлгодогби	OE L Gr EH D EH G BJ I <SPACE>
ойлгое	OE L Gr EH J EH <SPACE>
ойлгожо	OE L Gr EH ZH EH <SPACE>
ойлгон	OE L Gr EH NG <SPACE>
ойлгоогүй	OE L Gr OOh Gr UIs <SPACE>
ойлгоходоо	OE L Gr EH H EH D OOh <SPACE>
ойлгуулжа	OE L Gr UUh L ZH EH <SPACE>
ойн	OE NG <SPACE>
ойрод	OE R EH T <SPACE>
окладников	O K L A D NJ I K O F <SPACE>
олдоно	O L D EH N EH <SPACE>
олдоногүй	O L D EH N EH Gr UIs <SPACE>
олдоогүй	O L D OOh Gr UIs <SPACE>
олдохо	O L D EH H EH <SPACE>
олзо	O L Z EH <SPACE>
олзын	O L Z Y NG <SPACE>
олимпиада	O LJ I M PJ I A D A <SPACE>
олимпиадада	O LJ I M PJ I A D EH D EH <SPACE>
олимпиаданууд	O LJ I M PJ I A D A D EH N UUh T <SPACE>
оло	O L EH <SPACE>
олой	O L EE <SPACE>
ололсожо	O L EH L S EH ZH EH <SPACE>
олон	O L EH NG <SPACE>
олонгоо	O L EH NG G OOh <SPACE>
олонгүй	O L EH NG G UIs <SPACE>
олондо	O L EH N D EH <SPACE>
олониие	O L EH NJ II J EH <SPACE>
олониитын	O L EH NJ II T Y NG <SPACE>
олонхи	O L EH N H I <SPACE>
олонхимнай	O L EH N HJ I M N EE <SPACE>
олоод	O L OOh T <SPACE>
олоор	O L OOh R <SPACE>
олоороо	O L OOh R OOh <SPACE>
олошорхо	O L EH SH EH R H EH <SPACE>
олоһоор	O L EH HH OOh R <SPACE>
ольга	O LJ G EH <SPACE>
ольтирогуудаар	O LJ TJ I R O Gr UUh D AA R <SPACE>
омар	O M EH R <SPACE>
омогорхол	O M EH Gr EH R H EH L <SPACE>
он	O NG <SPACE>
ондо	O N D EH <SPACE>
ондоо	O N D OOh <SPACE>
оной	O N EE <SPACE>
онол	O N EH L <SPACE>
ономастика	O N EH M A S TJ I K A <SPACE>
онсо	O N S EH <SPACE>
онтохон	O N T EH H EH NG <SPACE>
онууд	O N UUh T <SPACE>
онуудта	O N UUh T T EH <SPACE>
онһоо	O N HH OOh <SPACE>
оперо	O PJ EH R EH <SPACE>
ордон	O R D EH NG <SPACE>
ордонтой	O R D EH N T EE <SPACE>
ореолто	O RJ O L T EH <SPACE>
ореолтонуудай	O RJ OOh L T EH N UUh D EE <SPACE>
ори	O RJ I <SPACE>
орилхыень	O RJ I L H Y J EH NJ <SPACE>
оробо	O R O V EH <SPACE>
ород	O R EH T <SPACE>
орожо	O R O ZH EH <SPACE>
орой	O R EE <SPACE>
оройгдооб	O R EE G D OOh P <SPACE>
оройдоо	O R EE D OOh <SPACE>
оройдоол	O R EE D OOh L <SPACE>
оройе	O R EE J EH <SPACE>
оройнууд	O R EE N UUh T <SPACE>
оролдодог	O R EH L D EH D EH K <SPACE>
оролдодогби	O R EH L D EH D EH G BJ I <SPACE>
оролдожол	O R EH L D EH ZH EH L <SPACE>
оролдолго	O R EH L D EH L Gr EH <SPACE>
оролдолгоор	O R EH L D EH L Gr OOh R <SPACE>
оролдоо	O R EH L D OOh <SPACE>
оролсоно	O R EH L S EH N EH <SPACE>
орон	O R EH NG <SPACE>
орондо	O R EH N D EH <SPACE>
орондоо	O R EH N D OOh <SPACE>
ороной	O R EH N EE <SPACE>
ороноймнай	O R EH N EE M N EE <SPACE>
оронойнгоо	O R EH N OE NG G OOh <SPACE>
ороноор	O R EH N OOh R <SPACE>
оронхой	O R EH N H EE <SPACE>
ороо	O R OOh <SPACE>
орооб	O R OOh P <SPACE>
ороод	O R OOh T <SPACE>
орохо	O R O H EH <SPACE>
орохоб	O R O H EH P <SPACE>
орохобди	O R O H EH B DJ I <SPACE>
ороходоо	O R O H EH D OOh <SPACE>
орохыень	O R O H Y J EH NJ <SPACE>
ороһон	O R EH HH EH NG <SPACE>
ороһоор	O R EH HH OOh R <SPACE>
оруулагдана	O R UUh L EH G D EH N EH <SPACE>
оруулбал	O R UUh L V EH L <SPACE>
оруулдаг	O R UUh L D EH K <SPACE>
оруулжа	O R UUh L ZH EH <SPACE>
орхеоб	O R HJ OOh P <SPACE>
орхигдоһон	O R HJ I G D EH HH EH NG <SPACE>
оршодог	O R SH EH D EH K <SPACE>
оршом	O R SH EH M <SPACE>
оршоһон	O R SH EH HH EH NG <SPACE>
оршуулагша	O R SH UUh L EH G SH EH <SPACE>
орёо	O RJ OOh <SPACE>
орёохон	O RJ OOh H EH NG <SPACE>
остров	O S T R O F <SPACE>
отделенидэ	O T DJ EH LJ EH NJ I D EH <SPACE>
оулуһаань	O Uh L Uh HH AA NJ <SPACE>
охин	O HJ I NG <SPACE>
охрын	O R H Y NG <SPACE>
очно	O CH N EH <SPACE>
ошобобди	O SH EH V EH B DJ I <SPACE>
ошодог	O SH EH D EH K <SPACE>
ошодоггүй	O SH EH D EH G Gr UIs <SPACE>
ошожо	O SH EH ZH EH <SPACE>
ошолго	O SH EH L Gr EH <SPACE>
ошон	O SH EH NG <SPACE>
ошоноб	O SH EH N EH P <SPACE>
ошоо	O SH OOh <SPACE>
ошоогүй	O SH OOh Gr UIs <SPACE>
ошохо	O SH EH H EH <SPACE>
ошохоб	O SH EH H EH P <SPACE>
ошоходоо	O SH EH H EH D OOh <SPACE>
ошоходош	O SH EH H EH D EH SH <SPACE>
ошоһон	O SH EH HH EH NG <SPACE>
оюна	O J Uh N EH <SPACE>
оюун	O J UUh NG <SPACE>
оюутад	O J UUh T EH T <SPACE>
оюутан	O J UUh T EH NG <SPACE>
оёорто	O J OOh R T EH <SPACE>
павел	P A VJ EH L <SPACE>
пакистан	P A KJ I S T A NG <SPACE>
парти	P A R TJ I <SPACE>
пашту	P A SH T Uh <SPACE>
пеккин	P E KJ I NG <SPACE>
пеккинэй	PJ E KJ I N EE <SPACE>
пеккэ	PJ E K K E <SPACE>
пенсидэ	PJ E N SJ I D EH <SPACE>
печени	PJ E CH E NJ I <SPACE>
писаницы	PJ I S A NJ I C Y <SPACE>
питер	PJ I TJ E R <SPACE>
пластик	P L A S TJ I K <SPACE>
платитай	P L A TJ I T EE <SPACE>
поездруу	P O J E Z D R UUh <SPACE>
полис	P O LJ I S <SPACE>
полисоо	P O LJ I S OOh <SPACE>
полнометражный	P O L N EH MJ EH T R A ZH N Y J <SPACE>
португал	P O R T Uh Gr A L <SPACE>
почтальоноор	P O CH T A LJ O N OOh R <SPACE>
почтыень	P O CH T Y J EH NJ <SPACE>
поэдүүд	P O E D UUs T <SPACE>
поэзии	P O E ZJ II <SPACE>
поэзиин	P O E ZJ II NG <SPACE>
поэт	P O E T <SPACE>
правин	P R A VJ I NG <SPACE>
практикада	P R A K TJ I K EH D EH <SPACE>
премьерын	P RJ E MJ J EH R Y NG <SPACE>
премьерэ	P RJ E MJ J EH R EH <SPACE>
премьерээр	P RJ E MJ J EH R EE R <SPACE>
программа	P R O G R A M M EH <SPACE>
программаар	P R O G R A M M AA R <SPACE>
программада	P R O G R A M M EH D EH <SPACE>
программар	P R O G R A M M A R <SPACE>
продюсер	P R O DJ Uh SJ E R <SPACE>
проект	P R O J EH K T <SPACE>
проектнүүдые	P R O J EH K T N UUh D Y J EH <SPACE>
проектые	P R O J EH K T Y J EH <SPACE>
проектын	P R O J EH K T Y NG <SPACE>
протасоватай	P R O T A S O V A T EE <SPACE>
профессор	P R O FJ E S S EH R <SPACE>
путкинооткэ	P Uh T KJ I N OOh T K EH <SPACE>
путкинотко	P Uh T KJ I N O T K O <SPACE>
пушкин	P Uh SH KJ I NG <SPACE>
пүмпөөдэһөөнь	P Us M P OOs D EH HH OOs NJ <SPACE>
раднаев	R A D N A J EH F <SPACE>
раднаева	R A D N A J EH V A <SPACE>
раднажап	R A D N A ZH EH P <SPACE>
раиса	R A I S A <SPACE>
районогой	R A J OOh N EH Gr EE <SPACE>
ракшаева	R A K SH A J E V A <SPACE>
раскадровщигоор	R A S K A D R O F SCH I Gr OOh R <SPACE>
режима	RJ E ZH Y M EH <SPACE>
режиссёр	RJ E ZH Y S SJ OOh R <SPACE>
режиссёрнуудтай	RJ E ZH Y S SJ OOh R N UUh T T EE <SPACE>
режиссёрой	RJ E ZH Y S SJ OOh R EE <SPACE>
рекламна	RJ E K L A M N EH <SPACE>
репетиторнүүд	RJ E PJ E TJ I T O R N UUh T <SPACE>
республика	RJ E S P Uh B LJ I K EH <SPACE>
республикымнай	RJ E S P Uh B LJ I K Y M N EE <SPACE>
республикын	RJ E S P Uh B LJ I K Y NG <SPACE>
ринчинович	RJ I N CH I N O VJ I CH <SPACE>
ринчиновичэй	RJ I N CH I N O VJ I CH EE <SPACE>
ринчиногой	RJ I N CH I N O Gr EE <SPACE>
родионовна	R O DJ I O N O V N A <SPACE>
роза	R O Z EH <SPACE>
ролигуудые	R O LJ I Gr UUh D Y J EH <SPACE>
роман	R O M A NG <SPACE>
росси	R O S SJ I <SPACE>
россиин	R O S SJ II NG <SPACE>
руу	R UUh <SPACE>
саада	S AA D EH <SPACE>
саана	S AA N EH <SPACE>
саашаа	S AA SH AA <SPACE>
саашадаа	S AA SH EH D AA <SPACE>
саашань	S AA SH EH NJ <SPACE>
сабшалга	S A P SH EH L Gr EH <SPACE>
саг	S A K <SPACE>
сагаалганай	S A Gr AA L Gr EH N EE <SPACE>
сагаан	S A Gr AA NG <SPACE>
сагай	S A Gr EE <SPACE>
сагаймни	S A Gr EE M NJ I <SPACE>
сагдаанар	S A G D AA N EH R <SPACE>
сагни	S A G NJ I <SPACE>
сагта	S A G T EH <SPACE>
сагһаа	S A G HH AA <SPACE>
садхалан	S A D H EH L EH NG <SPACE>
сай	S EE <SPACE>
сайлуулжа	S EE L UUh L ZH EH <SPACE>
сайт	S EE T <SPACE>
сакья	S A KJ J AA <SPACE>
санагын	S A N EH Gr Y NG <SPACE>
санда	S A N D EH <SPACE>
санданов	S A N D A N O V <SPACE>
санжа	S A N ZH EH <SPACE>
санжиевна	S A N ZH Y J EH V N A <SPACE>
санжимитупов	S A N ZH Y MJ I T Uh P O F <SPACE>
сара	S A R EH <SPACE>
сараа	S A R AA <SPACE>
сарьдаг	S A RJ D EH K <SPACE>
сарюун	S A RJ UUh NG <SPACE>
сахаяхадай	S A H A J EH H EH D EE <SPACE>
сахижа	S A HJ I ZH EH <SPACE>
сахихаяа	S A HJ I H EH J AA <SPACE>
сая	S A J A <SPACE>
саяан	S A J AA NG <SPACE>
саяанайм	S A J AA N EE M <SPACE>
саян	S A J A NG <SPACE>
саһанай	S A HH EH N EE <SPACE>
светлана	S VJ E T L A N EH <SPACE>
секретаревич	SJ E K RJ E T A RJ E VJ I CH <SPACE>
секундын	SJ E K Uh N D Y NG <SPACE>
секцидэ	SJ E K C Y D EH <SPACE>
семеновой	SJ E MJ O N O V EE <SPACE>
сентябриин	SJ E N TJ A B RJ II NG <SPACE>
сибириин	SJ I BJ I RJ II NG <SPACE>
сибирь	SJ I BJ I RJ <SPACE>
сиддарта	SJ I D D A R T EH <SPACE>
сингапур	SJ I N G A P Uh R <SPACE>
сингх	SJ I N K H <SPACE>
смигэй	S MJ I Gr EE <SPACE>
совет	S O VJ E T <SPACE>
советскэ	S O VJ E T S K EH <SPACE>
совхозой	S O F H O Z EE <SPACE>
совхозуудай	S O F H O Z UUh D EE <SPACE>
согтохангил	S O K T EH H A N GJ I L <SPACE>
солбон	S O L V EH NG <SPACE>
солист	S O LJ I S T <SPACE>
солонгос	S O L EH NG G EH S <SPACE>
солотой	S O L EH T EE <SPACE>
сонгоол	S O NG G OOh L <SPACE>
сонимнай	S O NJ I M N EE <SPACE>
сониндо	S O NJ I N D EH <SPACE>
сониной	S O NJ I N EE <SPACE>
соностохо	S O N EH S T EH H EH <SPACE>
соносхолнууд	S O N EH S H EH L N UUh T <SPACE>
сонхоной	S O N H EH N EE <SPACE>
сонхонуудые	S O N H EH N UUh D Y J EH <SPACE>
сонхоор	S O N H OOh R <SPACE>
сонхын	S O N H Y NG <SPACE>
сонь	S O NJ <SPACE>
соо	S OOh <SPACE>
соогоо	S OOh Gr OOh <SPACE>
соогуур	S OOh Gr UUh R <SPACE>
соомнай	S OOh M N EE <SPACE>
соонь	S OOh NJ <SPACE>
соошоогоо	S OOh SH OOh Gr OOh <SPACE>
соошье	S OOh SH J EH <SPACE>
сооһоонь	S OOh HH OOh NJ <SPACE>
соробхилно	S O R EH F HJ I L N EH <SPACE>
сохи	S O HJ I <SPACE>
сохилго	S O HJ I L Gr EH <SPACE>
сохом	S O H EH M <SPACE>
сошоолгоо	S O SH OOh L Gr OOh <SPACE>
союзай	S O J Uh Z EE <SPACE>
соёл	S O J O L <SPACE>
соёлдо	S O J O L D EH <SPACE>
соёлма	S O J O L M A <SPACE>
соёлнуудай	S O J O L N UUh D EE <SPACE>
соёлой	S O J O L EE <SPACE>
соёлоор	S O J O L OOh R <SPACE>
соёлтой	S O J O L T EE <SPACE>
спорт	S P O R T <SPACE>
спортдо	S P O R T D EH <SPACE>
спортын	S P O R T Y NG <SPACE>
сссрэй	S S S R EE <SPACE>
степанович	S TJ E P A N O VJ I CH <SPACE>
строгого	S T R O Gr O Gr EH <SPACE>
студи	S T Uh DJ I <SPACE>
субарга	S Uh V EH R Gr EH <SPACE>
субаһан	S Uh V EH HH EH NG <SPACE>
суг	S Uh K <SPACE>
суглаанда	S Uh G L AA N D EH <SPACE>
суглуулагдамал	S Uh G L UUh L EH G D EH M EH L <SPACE>
суглуулагдана	S Uh G L UUh L EH G D EH N EH <SPACE>
суглуулагдаһан	S Uh G L UUh L EH G D EH HH EH NG <SPACE>
суглуулбари	S Uh G L UUh L V EH RJ I <SPACE>
суглуулдаг	S Uh G L UUh L D EH K <SPACE>
суглуулжа	S Uh G L UUh L ZH EH <SPACE>
сультимова	S Uh LJ TJ I M O V A <SPACE>
сурбалжалагша	S Uh R V EH L ZH EH L EH K SH EH <SPACE>
сурбалжалагшатай	S Uh R V EH L ZH EH L EH K SH EH T EE <SPACE>
суулга	S UUh L Gr EH <SPACE>
суулгада	S UUh L Gr EH D EH <SPACE>
суулгаһаа	S UUh L Gr EH HH AA <SPACE>
суулгын	S UUh L Gr Y NG <SPACE>
суурхадаг	S UUh R H EH D EH K <SPACE>
сууряан	S UUh RJ AA NG <SPACE>
суута	S UUh T EH <SPACE>
суутай	S UUh T EE <SPACE>
сухалдуулаа	S Uh H EH L D UUh L AA <SPACE>
сухарихагүй	S Uh H EH RJ I H EH Gr UIs <SPACE>
сшагай	S SH A Gr EE <SPACE>
сэбэр	S E V EH R <SPACE>
сэбэрлэлгэ	S E V EH R L EH L Gr EH <SPACE>
сэбэрлэлтэ	S E V EH R L EH L T EH <SPACE>
сэгнэдэг	S E G N EH D EH K <SPACE>
сэгнэлтэ	S E G N EH L T EH <SPACE>
сэгнэлтэдэ	S E G N EH L T EH D EH <SPACE>
сэгнэлтэнүүдые	S E G N EH L T EH N UUs D Y J EH <SPACE>
сэдьхэл	S E DJ H EH L <SPACE>
сэдьхэлдэ	S E TJ H EH L D EH <SPACE>
сэдьхэлдэм	S E TJ H EH L D EH M <SPACE>
сэдьхэлдээ	S E TJ H EH L D EE <SPACE>
сэдьхэлни	S E TJ H EH L NJ I <SPACE>
сэдьхэлтэй	S E TJ H EH L T EE <SPACE>
сэдьхэлшни	S E TJ H EH L SH NJ I <SPACE>
сэдьхэлэй	S E TJ H EH L EE <SPACE>
сэдьхэлэйнгээ	S E TJ H EH L EE NG G EE <SPACE>
сэдьхэлээ	S E TJ H EH L EE <SPACE>
сэдьхэлээрээ	S E TJ H EH L EE R EE <SPACE>
сэлэнгын	S E L EH NG G Y NG <SPACE>
сэнтэй	S E N T EE <SPACE>
сэнтэйб	S E N T EE P <SPACE>
сэрэгшэн	S E R EH K SH EH NG <SPACE>
сэрэгэй	S E R EH Gr EE <SPACE>
сэсэг	S E S EH G <SPACE>
сэсэгые	S E S EH Gr Y J EH <SPACE>
сэсэгэй	S E S EH Gr EE <SPACE>
сэсэгүүдэй	S E S EH Gr UUs D EE <SPACE>
сэсэн	S E S EH NG <SPACE>
сэсэрлиг	S E S EH R LJ I K <SPACE>
сэсэрлигтэ	S E S EH R LJ I K T EH <SPACE>
сэхыень	S E H Y J EH NJ <SPACE>
сэхынь	S E H Y NJ <SPACE>
сэхэ	S E H EH <SPACE>
сүлдэ	S Us L D EH <SPACE>
сүлэй	S Us L EE <SPACE>
сүлөө	S Us L OOs <SPACE>
сүлөөгүй	S Us L OOs Gr UIs <SPACE>
сүлөөтэйгөөр	S Us L OOs T EE Gr OOs R <SPACE>
сүм	S Us M <SPACE>
та	T A <SPACE>
таабайн	T AA V EE NG <SPACE>
таалаха	T AA L EH H EH <SPACE>
тааруу	T AA R UUh <SPACE>
тааруулжа	T AA R UUh L ZH EH <SPACE>
таба	T A V EH <SPACE>
табан	T A V EH NG <SPACE>
табанай	T A V EH N EE <SPACE>
табибагүй	T A VJ I V EH Gr UIs <SPACE>
табигдаа	T A VJ I G D AA <SPACE>
табигданхай	T A VJ I G D EH N H EE <SPACE>
табигдаһаан	T A VJ I G D EH HH AA NG <SPACE>
табигдаһан	T A VJ I G D EH HH EH NG <SPACE>
табигшад	T A VJ I K SH EH T <SPACE>
табидаг	T A VJ I D EH K <SPACE>
табижа	T A VJ I ZH EH <SPACE>
табилсаа	T A VJ I L S AA <SPACE>
табимаар	T A VJ I M AA R <SPACE>
табиха	T A VJ I H EH <SPACE>
табихаш	T A VJ I H EH SH <SPACE>
табихаһаа	T A VJ I H EH HH AA <SPACE>
табиһан	T A VJ I HH EH NG <SPACE>
табяа	T A VJ AA <SPACE>
таисия	T A I SJ I J A <SPACE>
тайвань	T A J V A NJ <SPACE>
тайзан	T EE Z EH NG <SPACE>
тайланд	T A J L A N D <SPACE>
тайлбарилаатай	T EE L V EH RJ I L AA T EE <SPACE>
тайлбарилха	T EE L V EH RJ I L H EH <SPACE>
тайлга	T EE L Gr EH <SPACE>
тайлган	T EE L Gr EH NG <SPACE>
тайна	T EE N EH <SPACE>
тала	T A L EH <SPACE>
талаан	T A L AA NG <SPACE>
талаангаа	T A L AA NG G AA <SPACE>
талааниинь	T A L AA NJ II NJ <SPACE>
талаантай	T A L AA N T EE <SPACE>
талаар	T A L AA R <SPACE>
талаараа	T A L AA R AA <SPACE>
таладань	T A L EH D EH NJ <SPACE>
талаһаа	T A L EH HH AA <SPACE>
талаһаань	T A L EH HH AA NJ <SPACE>
талисман	T A LJ I S M A NG <SPACE>
талмайн	T A L M EE NG <SPACE>
талхатай	T A L H EH T EE <SPACE>
талые	T A L Y J EH <SPACE>
талын	T A L Y NG <SPACE>
тамирай	T A MJ I R EE <SPACE>
таммиинэн	T A M MJ II N E NG <SPACE>
тамминэн	T A M MJ I N E NG <SPACE>
тамминэни	T A M MJ I N E NJ I <SPACE>
танай	T A N EE <SPACE>
тангадай	T A NG G EH D EE <SPACE>
тангатовна	T A NG G A T O V N A <SPACE>
тангатовнагай	T A NG G A T O V N A Gr EE <SPACE>
танда	T A N D EH <SPACE>
таниие	T A NJ I J EH <SPACE>
танил	T A NJ I L <SPACE>
танилсаа	T A NJ I L S AA <SPACE>
танилсаабди	T A NJ I L S AA B DJ I <SPACE>
танилсаад	T A NJ I L S AA T <SPACE>
танилсалга	T A NJ I L S EH L Gr EH <SPACE>
танилсаха	T A NJ I L S EH H EH <SPACE>
танилсаһан	T A NJ I L S EH HH EH NG <SPACE>
танилсуулаа	T A NJ I L S UUh L AA <SPACE>
танилсуулха	T A NJ I L S UUh L H EH <SPACE>
танхим	T A N HJ I M <SPACE>
тараадаг	T A R AA D EH K <SPACE>
тарааха	T A R AA H EH <SPACE>
тараашад	T A R AA SH EH T <SPACE>
тараашадбди	T A R AA SH EH D B DJ I <SPACE>
тараһан	T A R EH HH EH NG <SPACE>
тарбагатайская	T A R B A G A T A J S K A J A <SPACE>
тарган	T A R Gr EH NG <SPACE>
тартай	T A R T EE <SPACE>
таряалан	T A RJ AA L EH NG <SPACE>
таряаша	T A RJ AA SH EH <SPACE>
татаа	T A T AA <SPACE>
татаарнууд	T A T AA R N UUh T <SPACE>
татаатай	T A T AA T EE <SPACE>
татааш	T A T AA SH <SPACE>
татагдадаг	T A T EH G D EH D EH K <SPACE>
татан	T A T EH NG <SPACE>
татана	T A T EH N EH <SPACE>
татаса	T A T EH S EH <SPACE>
татаһан	T A T EH HH EH NG <SPACE>
татуулаа	T A T UUh L AA <SPACE>
татьяна	T A TJ J A N A <SPACE>
ташаба	T A SH EH V EH <SPACE>
ташажал	T A SH EH ZH EH L <SPACE>
ташалгаар	T A SH EH L Gr AA R <SPACE>
ташалганда	T A SH EH L Gr EH N D EH <SPACE>
ташуурдуулааб	T A SH UUh R D UUh L AA P <SPACE>
таһаг	T A HH EH K <SPACE>
таһагай	T A HH EH Gr EE <SPACE>
таһагта	T A HH EH G T EH <SPACE>
таһалга	T A HH EH L Gr EH <SPACE>
таһалгада	T A HH EH L Gr EH D EH <SPACE>
таһалхагүйн	T A HH EH L H EH Gr UIs NG <SPACE>
таһалһан	T A HH EH L HH EH NG <SPACE>
таһараа	T A HH AA R AA <SPACE>
таһараагүй	T A HH EH R AA Gr UIs <SPACE>
театр	TJ E A T R <SPACE>
театрай	TJ E A T R EE <SPACE>
театрайнгаа	TJ E A T R EE NG G AA <SPACE>
театрайхид	TJ E A T R EE HJ I T <SPACE>
театральна	TJ E A T R A LJ N EH <SPACE>
театрнуудай	TJ E A T R N UUh D EE <SPACE>
температура	TJ E M PJ E R A T Uh R A <SPACE>
теравада	TJ E R A V A D A <SPACE>
терапи	TJ E R A PJ I <SPACE>
технологическа	TJ E H N O L O GJ I CH EH S K EH <SPACE>
теэд	TJ EE T <SPACE>
тиигэбэл	TJ II Gr EH V EH L <SPACE>
тиигэбэшье	TJ II Gr EH V EH SH J EH <SPACE>
тиигэжэ	TJ II Gr EH ZH EH <SPACE>
тиигээд	TJ II Gr EE T <SPACE>
тиигээдшье	TJ II Gr EE D SH Y J EH <SPACE>
тиигэһээр	TJ II Gr EH HH EE R <SPACE>
тиимэ	TJ II M EH <SPACE>
тиимэл	TJ II M EH L <SPACE>
тиимэшиимэш	TJ II M EH SH J M EH SH <SPACE>
тиимэшье	TJ II M EH SH J EH <SPACE>
тиимэһээ	TJ II M EH HH EE <SPACE>
тиин	TJ II NG <SPACE>
тиихэ	T II H EH <SPACE>
тиихэдэ	TJ II H EH D EE <SPACE>
тиихэдэнь	TJ II H EH D EH NJ <SPACE>
тиихэдээ	TJ II H EH D EE <SPACE>
тиишэ	TJ II SH EH <SPACE>
тиишээ	TJ II SH EE <SPACE>
тимофей	TJ I M O FJ E J <SPACE>
тимур	TJ I M Uh R <SPACE>
тобир	T O VJ I R <SPACE>
тогооной	T O Gr OOh N EE <SPACE>
тогоошон	T O Gr OOh SH EH NG <SPACE>
тогтоол	T O K T OOh L <SPACE>
тогтоохо	T O K T OOh H EH <SPACE>
тогтохоевна	T O K T EH H O J EH V N A <SPACE>
тогтошонгүй	T O K T EH SH EH N G UIs <SPACE>
тогтоһон	T O K T EH HH EH NG <SPACE>
тодорбо	T O D EH R V EH <SPACE>
тойрогой	T OE R EH Gr EE <SPACE>
тойрогоор	T OE R EH Gr OOh R <SPACE>
тойрогто	T OE R EH K T EH <SPACE>
тойроод	T OE R OOh T <SPACE>
толгойгоо	T O L Gr EE Gr OOh <SPACE>
толгойгороо	T O L Gr EE Gr O R OOh R <SPACE>
