ааб	AA P
толгойгоо	T O L Gr EE Gr OOh
толгойгороо	T O L Gr EE Gr O R OOh R
толи	T O LJ I
толстой	T O L S T O J
томо	T O M EH
томорхуу	T O M EH R H UUh
томохон	T O M EH H EH NG
томошуул	T O M SH UUh L
тон	T O NG
тоо	T OOh
тоогдонгүй	T OOh G D EH NG G UIs
тоогоор	T OOh Gr OOh R
тоодо	T OOh D EH
тоологдодог	T OOh L EH G D EH D EH K
тоонто	T OOh N T EH
тоонтотой	T OOh N T EH T EE
тоонтоёо	T OOh N T EH J OOh
тооһо	T OOh HH EH
тооһоноо	T OOh HH EH N OOh
тордиһогүй	T O R DJ I HH EH Gr UIs
тохожорхихо	T O H EH ZH E R HJ I H EH
тохёолдожо	T O HJ OOh L D EH ZH EH
тохёолдоод	T O HJ OOh L D OOh T
тоһо	T O HH EH
тоһон	T O HH EH NG
травоолтэ	T R A V OOh L T EH
трактаар	T R A K T AA R
трактортай	T R A K T EH R T EE
тренер	T RJ E NJ E R
тренерэйнь	T RJ E NJ E R EE NJ
трюгүүдые	T RJ UUh Gr UUs D Y J EH
тугал	T Uh Gr EH L
тудалдадаг	T Uh D EH L D EH D EH K
тудашоо	T Uh D EH SH OOh
туйлалта	T UIs L EH L T EH
туйлаһан	T UIh L EH HH EH NG
тула	T Uh L EH
тулада	T Uh L EH D EH
тулалдаанай	T Uh L EH L D AA N EE
туласа	T Uh L EH S EH
тунгалаг	T Uh NG G EH L EH K
тунгус	T Uh NG G Uh S
тура	T Uh R EH
туркада	T Uh R K EH D EH
туркуһаань	T Uh R K Uh HH AA NJ
турша	T Uh R SH EH
туршагты	T Uh R SH EH K T Y
туршада	T Uh R SH EH D EH
туршажа	T Uh R SH EH ZH EH
туршаха	T Uh R SH EH H EH
тус	T Uh S
тусда	T Uh S D EH
тухай	T Uh H EE
тухайгаа	T Uh H EE Gr AA
тухайм	T Uh H EE M
туяа	T Uh J AA
туһа	T Uh HH EH
туһаар	T Uh HH AA R
туһалалсаа	T Uh HH EH L EH L S AA
туһаламжа	T Uh HH EH L EH M ZH EH
туһаламжанууд	T Uh HH EH L EH M ZH EH N UUh T
туһалдаг	T Uh HH EH L D EH K
туһалжа	T Uh HH EH L ZH EH
туһалсажа	T Uh HH EH L S EH ZH EH
туһалха	T Uh HH EH L H EH
туһалхые	T Uh HH EH L H Y J EH
туһатай	T Uh HH EH T EE
туһаяа	T Uh HH EH J AA
тысяча	T Y SJ A CH A
тэбэрихэ	T E V EH RJ I H EH
тэгшэ	T E K SH EH
тэдхэмжэ	T E T H EH M ZH EH
тэдэ	T E D EH
тэдэмнай	T E D EH M N EE
тэдэнэй	T E D EH N EE
тэдэнэйнь	T E D EH N EE NJ
тэдэнэр	T E D EH N EH R
тэдэнэрэй	T E D EH N EH R EE
тэдэнээ	T E D EH N EE
тэдээндэ	T E D EE N D EH
тэдээнтэй	T E D EE N T EE
тэжээ	T E ZH EE
тэжээгты	T E ZH EE K T Y
тэжээхэ	T E ZH EE H EH
тэжээхэеэ	T E ZH EE H EH J EE
тэмдэглэдэг	T E M D EH G L EH D EH K
тэмдэглэмээр	T E M D EH G L EH M EE R
тэмдэглээ	T E M D EH G L EE
тэмдэглэһээр	T E M D EH G L EH HH EE R
тэмсээн	T E M S EE NG
тэнгисэй	T E NG GJ I S EE
тэнгэриин	T E NG G EH RJ II NG
тэндэ	T E N D EH
тэндэмни	T E N D EH M NJ I
тэндэнь	T E N D EH NJ
тэндэхи	T E N D EH HJ I
тэниидэг	T E NJ II D EH K
тэнюун	T E NJ UUh NG
тэригүүн	T E RJ I Gr UUs NG
тэрлигээ    T E R LJ I Gr EE
тэрьедээд	T E RJ J E D EE T
тэрэ	T E R EH
тэрэмни	T E R EH M NJ I
тэрэниие	T E R EH NJ II J EH
тэрэнтэй	T E R EH N T EE
тэрэнэй	T E R EH N EE
тэрэнээ	T E R EH N EE
тэрэшни	T E R EH SH NJ I
тэрээн	T E R EE NG
тэрээндэ	T E R EE N D EH
тэрээндэнь	T E R EE N D EH NJ
тэрээниие	T E R EE NJ II J EH
тэрээнһээ	T EH R EE N HH EE
тэрээхэнэй	T E R EE H EH N EE
тэсэмгэй	T E S EH M Gr EE
тээ	T EE
тээшэ	T EE SH EH
түб	T Us P
түби	T Us VJ I
түбхинэһэн	T Us P HJ I N EH HH EH NG
түбхинөө	T Us P HJ I N OOs
түбэй	T Us V EE
түбүүдһээ	T Us V UUs D HH EE
түгнын	T Us G N Y NG
түгнынгөө	T Us G N Y NG G OOs
түгэлдэр	T Us Gr EH L D EH R
түгэсхэлэй	T Us Gr EH S H EH L EE
түгэсэбэ	T Us Gr EH S EH V EH
түлбэри	T Us L V EH RJ I
түлеэ	T Us LJ EE
түлхюур	T Us L HJ UUh R
түлөө	T Us L OOs
түлөөлэгшэд	T Us L OOs L EH K SH EH T
түлөөһэгүйгөөр	T Us L OOs HH EH Gr UIs Gr OOs R
түмэр	T Us M EH R
түмүрид	T Us M Us RJ I T
түнхэн	T Us N H EH NG
түнхэнэй	T Us N H EH N EE
түргэ	T Us R Gr EH
түргэн	T Us R Gr EH NG
түргэнөөр	T Us R Gr EH N OOs R
түргэхэнөөр	T Us R Gr EH H EH N OOs R
түрхидэг	T Us R HJ I D EH K
түрын	T Us R Y NG
түрэ	T Us R EH
түрэл	T Us R EH L
түрэлнүүд	T Us R EH L N UUh T
түрэлхид	T Us R EH L HJ I D
түрэлхидтэеэ	T Us R EH L HJ I T T E J EE
түрэхэһөө	T Us R EH H EH HH OOs
түрэһэн	T Us R EH HH EH NG
түрэһэнэй	T Us R EH HH EH N EE
түрүү	T Us R UUs
түрүүл	T Us R UUs L
түрүүлжэ	T Us R UUs L ZH EH
түрүүлнэ	T Us R UUs L N EH
түрүүлэгшэ	T Us R UUs L EH K SH EH
түрүүн	T Us R UUs NG
түрүүтэй	T Us R UUs T EE
түрүүшын	T Us R UUs SH Y NG
түрүүшынхеэ	T Us R UUs SH Y N HJ EE
түрүүшынхиеэ	T Us R UUs SH Y N HJ I J EE
түрүүшээр	T Us R UUs SH EE R
түрүүшүүлэй	T Us R UUs SH UUs L EE
түрөө	T Us R OOs
түсэб	T Us S EH P
түсэбүүд	T Us S EH V UUs T
түхэл	T Us H EH L
түхэлөөр	T Us H EH L OOs R
түхэм	T Us H EH M
түхөөбэ	T Us H OOs B EH
түүлөөбди	T UUs L OOs B DJ I
түүхэ	T UUs H EH
түүхэдэ	T UUs H EH D EE
түүхэй	T UUs H EE
түүхэтэ	T UUs H EH T EH
түүхэтэй	T UUs H EH T EE
убушеевичай	Uh V Uh SH E J E VJ I CH EE
уг	Uh K
угаа	Uh Gr AA
угаараа	Uh Gr AA R AA
угай	Uh Gr EE
угайм	Uh Gr EE M
угтагдаа	Uh K T EH G D AA
угтагдажа	Uh K T EH G D EH ZH EH
угтадаг	Uh K T EH D EH K
угтажа	Uh T K EH ZH EH
угтан	Uh K T EH NG
угтахань	Uh K T EH H EH NJ
угтаһан	Uh K T EH HH EH NG
угуудай	Uh Gr UUh D EE
угһаа	Uh G HH AA
удаа	Uh D AA
удаан	Uh D AA NG
удаань	Uh D AA NJ
удаахан	Uh D AA H EH NG
удаганай	Uh D EH Gr EH N EE
уданшьегүй	Uh D EH NG SH J EH Gr UIs
ударидалгатай	Uh D EH RJ I D EH L Gr EH T EE
удахагүй	Uh D EH H EH Gr UIs
удха	Uh T H EH
удхатай	Uh T H EH T EE
уйгуурнууд	UIh Gr UUh R N UUh T
уйлана	UIh L EH N EH
улаан	Uh L AA NG
улаанбаатарай   Uh L AA NG B AA T EH R EE
улаанүдын	Uh L AA N Us D Y NG
улаанүдэ	Uh L AA N Us D EH
улаанүдэдэ	Uh L AA N Us D EH D EH
уладууд	Uh L EH D UUh T
улам	Uh L EH M
улан	Uh L EH NG
уларилтай	Uh L EH RJ I L T EE
улас	Uh L EH S
уласай	Uh L EH S EE
уласта	Uh L EH S T EH
уласуудта	Uh L EH S UUh T T EH
уласхоорондын	Uh L EH S H OOh R EH N D Y NG
уласые	Uh L EH S Y J EH
унаган	Uh N EH Gr EH NG
уналга	Uh N EH L Gr EH
унахадань	Uh N EH H EH D EH NJ
ундалжа	Uh N D EH L ZH EH
университедэй	Uh NJ I VJ E R SJ I TJ E D EE
университет	Uh NJ I VJ E R SJ I TJ E T
унталгын	Uh N T EH L Gr Y NG
уншааб	Uh N SH AA P
уншаад	Uh N SH AA T
уншагшадай	Uh N SH EH K SH EH D EE
уншагшадтаа	Uh N SH EH K SH EH T T AA
уншагшадтаяа	Uh N SH EH K SH EH T T EH J AA
уншагшадые	Uh N SH EH K SH EH D Y J EH
уншадаг	Uh N SH EH D EH K
уншана	Uh N SH EH N EH
уншаха	Uh N SH EH H EH
уншаһан	Uh N SH EH HH EH NG
урагшаа	Uh R EH G SH AA
урагшань	Uh R EH K SH EH NJ
урагшатай	Uh R EH G SH EH T EE
уран	Uh R EH NG
уранаар	Uh R EH N AA R
урбашагүй	Uh R V EH SH EH Gr UIs
ургалта	Uh R Gr EH L T EH
ургамал	Uh R Gr EH M EH L
урган	Uh R Gr EH NG
ургы	Uh R Gr Y
ургыхан	Uh R Gr Y H EH NG
урда	Uh R D EH
урдаа	Uh R D AA
урданай	Uh R D EH N EE
урданайнгаа	Uh R D EH N EE NG G AA
урдуулаагүй	Uh R D UUh L AA Gr UIs
урдын	Uh R D Y NG
урид	Uh RJ I T
уридаг	Uh RJ I D EH K
урижа	Uh RJ I ZH EH
урин	Uh RJ I NG
урихадань	Uh RJ I H EH D EH NJ
урихан	Uh RJ I H EH NG
уриһан	Uh RJ I HH EH NG
урматай	Uh R M EH T EE
уряа	Uh RJ AA
уряална	Uh RJ AA L N EH
усалталгада	Uh S EH L T EH L Gr EH D EH
устьордада	Uh S TJ O R D A D EH
устьордын	Uh S TJ O R D Y NG
ута	Uh T EH
утаһаар	Uh T A HH AA R
утаһые	Uh T A HH Y J EH
уужа	UUh ZH EH
уужамаар	UUh ZH EH M AA R
уула	UUh L EH
уулада	UUh L EH D EH
уулархаг	UUh L EH R H EH K
уулаяа	UUh L A J AA
уулаһаашье	UUh L EH HH AA SH J EH
уулзаа	UUh L Z AA
уулзажа	UUh L Z EH ZH EH
уулзалга	UUh L Z EH L Gr EH
уулзахадаа	UUh L Z EH H EH D AA
уулзаһан	UUh L Z EH HH EH NG
уулын	UUh L Y NG
ухаагаараа	Uh H AA Gr AA R AA
ухаан	Uh H AA NG
ухаанай	Uh H AA N EE
ухаандаа	Uh H AA N D AA
ухаантай	Uh H AA N T EE
ухаатай	Uh H AA T EE
училищи	Uh CH I LJ I SCH I
училищида	Uh CH I LJ I SCH I D EH
училищиин	Uh CH I LJ I SCH I NG
училищияа	Uh CH I LJ I SCH I J AA
ушар	Uh SH EH R
ушаралай	Uh SH EH R EH L EE
ушарнууд	Uh SH EH R N UUh T
ушарнуудаар	Uh SH EH R N UUh D AA R
ушарнуудтай	Uh SH EH R N UUh T T EE
ушартаа	Uh SH EH R T AA
уялга	Uh J EH L Gr EH
уялгалха	Uh J EH L Gr EH L H EH
уялгата	Uh J EH L Gr EH T EH
уян	Uh J A NG
уянгатайгаар	Uh J A NG Gr EH T EE Gr AA R
уянгые	Uh J A NG G Y J EH
уяруулна	Uh J A R UUh L N EH
уһа	Uh HH EH
уһан	Uh HH EH NG
уһанайнь	Uh HH EH N EE NJ
уһанда	Uh HH EH N D EH
уһатай	Uh HH EH T EE
факультативна	F A K Uh LJ T A TJ I V N EH
факультедтэ	F A K Uh LJ TJ EH T T EH
фермернүүд	FJ E R MJ EH R N UUs T
фермернүүдтэ	FJ E R MJ EH R N UUs T T EH
фестивалиин	FJ E S TJ I V A LJ II NG
фестивальнуудта	FJ E S TJ I V A LJ N UUh T T EH
физическэ	FJ I ZJ I CH E S K EH
философско	FJ I L O S O F S K EH
фильм	FJ I LJ M
фильмнүүдые	FJ I LJ M N UUs D Y J EH
финляндиин	FJ I N LJ A N DJ II NG
флодой	F L O D EE
фм	EH F EH M
фольклорно	F O LJ K LJ O R N EH
фонтан	F O N T A NG
фото	F O T EH
францида	F R A N C Y D EH
франциин	P R A N C Y NG
француз	F R A N C Us S
ха	H A
хаагаа	H AA Gr AA
хаагданхай	H AA G D EH N H EE
хаажа	H AA ZH EH
хаан	H AA NG
хаана	H AA N EH
хаанабииб	H AA N EH VJ II P
хаанабши	H AA N EH P SH Y
хаанай	H AA N EE
хаанахи	H AA N EH HJ I
хаанашье	H AA N EH SH J EH
хаанаһаа	H AA N EH HH AA
хаашаг	H AA SH EH K
хаашагай	H AA SH EH Gr EE
хаашагһаа	H AA SH EH G HH AA
хаба	H A V EH
хабаадаа	H A V AA D AA
хабаадагшадые	H A V AA D EH K SH EH D Y J EH
хабаададаг	H A V AA D EH D EH K
хабаададагбди	H A V AA D EH D EH G B DJ I
хабаададагта	H A V AA D EH D EH K T EH
хабаадажа	H A V AA D EH ZH EH
хабаадалгаар	H A V AA D EH L Gr AA R
хабаадалсаһан	H A V AA D EH L S EH HH EH NG
хабаадана	H A V AA D EH N EH
хабаадуулхада	H A V AA D UUh L H EH D EH
хабаатай	H A V AA T EE
хабарай	H A V EH R EE
хабсагай	H A P S EH Gr EE
хабсагайн	H A P S EH Gr EE NG
хабсагайнай	H A P S EH Gr EE N EE
хадаа	H A D AA
хадаар	H A D AA R
хадагалаатай	H A D EH Gr EH L AA T EE
хадамда	H A D EH M D EH
хадхан	H A T H EH NG
хадын	H A D Y NG
хажуугаар	H A ZH UUh Gr AA R
хажууда	H A ZH UUh D EH
хажуудахи	H A ZH UUh D EH HJ I
хазагай	H A Z EH Gr EE
хазармонголшууд	H A Z EH R M O NG G EH L S UUh T
хайшаа	H EE SH AA
хайшан	H EE SH EH NG
хайямай	H A J A M EE
халираа	H A LJ I R AA
халуун	H A L UUh NG
халуунаар	H A L UUh N AA R
хальмагуудай	H A LJ M EH Gr UUh D EE
хамаг	H A M EH G
хамагай	H A M EH Gr EE
хамагые	H A M EH Gr Y J EH
хамарханов	H A M EH R H A N O F
хамба	H A M B EH
хамгаалалдаг	H A M G AA L EH L D EH K
хамгаалгын	H A M Gr AA L Gr Y NG
хамгаалдаг	H A M G AA L D EH K
хамгаалха	H A M G AA L H EH
хамжан	H A M ZH EH NG
хамсыгаа	H A M S Y Gr AA
хамта	H A M T EH
хамтадхаһан	H A M T EH T H EH HH EH NG
хамтараад	H A M T EH R AA T
хамтарал	H A M T EH R EH L
хамһабариин	H A M HH EH V EH RJ II NG
хан	H A NG
ханада	H A N EH D EH
ханануудынь	H A N EH N UUh D Y NJ
хананхатайгаар	H A N EH N H EH T EE Gr AA R
хангаһангүй	H A NG G EH HH EH NG G UIs
хандадаг	H A N D EH D EH K
хандахаб	H A N D EH H EH P
хандуевна	H A N D Uh J E V N A P
хандуулдаг	H A N D UUh L D EH K
хани	H A NJ I
ханхареевнатай	H A N H EH RJ E J EH V N A T EE
хара	H A R EH
хараабди	H A R AA B DJ I
хараагүйб	H A R AA Gr UIs P
хараад	H A R AA T
хараада	H A R AA D EH
хараалагданхай	H A R AA L EH G D EH N H EE
хараанда	H A R AA N D EH
хараасгайнуудай	H A R AA S H EH N UUh D EE
харагдаа	H A R EH G D AA
харагдажа	H A R EH G D EH ZH EH
харагдана	H A R EH G D EH N EH
харагдаха	H A R EH G D EH H EH
харагдаһан	H A R EH G D EH HH EH NG
харагшад	H A R EH K SH EH T
харагшадаа	H A R EH K SH EH D AA
харагшадай	H A R EH K SH EH D EE
харагшадта	H A R EH K SH EH T T EH
харагшадтаа	H A R EH K SH EH T T AA
харадаг	H A R EH D EH K
хаража	H A R EH ZH EH
харалганаадануудта	H A R EH L Gr EH N AA D EH N UUs T T EH
харалганда	H A R EH L Gr EH N D EH
харамтай	H A R EH M T EE
харана	H A R EH N EH
харанаб	H A R EH N EH P
харанат	H A R EH N EH T
харандаашууд	H A R EH N D AA SH UUh T
харанхыда	H A R EH N H Y D EH
хараха	H A R EH H EH
харахада	H A R EH H EH D EH
харахан	H A R EH H EH NG
харахаш	H A R EH H EH SH
хараһан	H A R EH HH EH NG
харбановагай	H A R V EH N O V A Gr EE
харгана	H A R Gr EH N EH
харгы	H A R Gr Y
харгыгаар	H A R Gr Y Gr AA R
харгыдаа	H A R Gr Y D AA
харгыдань	H A R Gr Y D EH NJ
хари	H A RJ I
харилсаа	H A RJ I L S AA
харилсаан	H A RJ I L S AA NG
харилсажа	H A RJ I L S EH ZH EH
харин	H A RJ I NG
хартаабхын	H A R T AA P H Y NG
хартиков	H A R TJ I K O F
хартикова	H A R TJ I K O V A
харуулаа	H A R UUh L AA
харуулаад	H A R UUh L AA T
харуулагдана	H A R UUh L EH G D EH N EH
харуулагданаа	H A R UUh L EH G D EH N AA
харуулан	H A R UUh L EH NG
харуулба	H A R UUh L V EH
харуулжа	H A R UUh L ZH EH
харуулна	H A R UUh L N EH
харуулхадань	H A R UUh L H EH D EH NJ
харуулшад	H A R UUh L SH EH T
харуулһан	H A R UUh L HH EH NG
харюултай	H A RJ UUh L T EE
хатан	H A T EH NG
хатанхай	H A T EH N H EE
хатар	H A T EH R
хатараа	H A T EH R AA
хатарааб	H A T EH R AA P
хатараар	H A T EH R AA R
хатарай	H A T EH R EE
хатарба	H A T EH R V EH
хатардаг	H A T EH R D EH K
хатареев	H A T EH RJ E J EH F
хатаржа	H A T EH R ZH EH
хатарнабди	H A T EH R N EH B DJ I
хатарнуудые	H A T EH R N UUh D Y J EH
хатарта	H A T EH R T EH
хатарха	H A T EH R H EH
хатархаар	H A T EH R H AA R
хатархаяа	H A T EH R H EH J AA
хатарша	H A T EH R SH EH
хатаршад	H A T EH R SH EH T
хатаршан	H A T EH R SH EH NG
хатарые	H A T EH R Y J EH
хатарһанаа	H A T EH R HH EH N AA
хатууе	H A T UUh J EH
хахад	H A H EH T
хахасаха	H A H EH S EH H EH
хахираар	H A HJ I R AA R
хашардалта	H A SH EH R D EH L T EH
хаһаяа	H A HH EH J AA
хеэльсинкидэ	HJ EE LJ SJ I N K EH D EH
хибэс	HJ I V EH S
хизаар	HJ I Z AA R
хизаарай	HJ I Z AA R EE
хизаарнуудаар	HJ I Z AA R N UUh D AA R
хилээмэн	HJ I L EE M EH NG
химгадалгагша	HJ I M Gr EH D EH L Gr EH K SH EH
химгадалгашадшье	HJ I M Gr EH D EH L Gr EH SH EH T SH J EH
химгадалгын	HJ I M Gr EH D EH L Gr Y NG
хиртээнгүйгөөр	HJ I R T EE NG G UIs Gr OOs R
хирэ	HJ I R EH
хирээр	HJ I R EE R
хитад	HJ I T EH T
хобто	H O P T EH
ходо	H O D EH
хододоо	H O D EH D OOh
ходол	H O D EH L
хоер	H O J EH R
хоергэрлэнхэй	H O J EH R G E R L EH N H EE
хоердохи	H O J O R D EH HJ I
хожомдохи	H O ZH EH M D EH HJ I
хоймор	H OE M EH R
хойно	H OE N EH
хойноо	H OE N OOh
хойнохоно	H OE N EH H EH N EH
хойноһоо	H OE N OOh HH OOh
хойноһоонь	H OE N OOh HH OOh NJ
хойто	H OE T EH
хойтогол	H OE T EH Gr O L
хойтоголой	H OE T EH Gr O L EE
хойшо	H OE SH EH
хойшолондоо	H OE SH EH L EH N D EH
хойшоо	H OE H OOh
холбоо	H O L V OOh
холбоон	H O L V OOh NG
холбооной	H O L V OOh N EE
холбоотой	H O L V OOh T EE
холижо	H O LJ I ZH EH
холисогүй	H O LJ I S EH Gr UIs
холисолдоһон	H O LJ I S EH L D EH HH EH NG
холо	H O L EH
холодожол	H O L EH D EH ZH EH L
холоһоо	H O L OOh HH OOh
холуур	H O L UUh R
холын	H O L Y NG
хомор	H O M EH R
хонгёо	H O NG GJ OOh
хониндо	H O NJ I N D EH
хоног	H O N EH K
хоногой	H O N EH Gr EE
хоногто	H O N EH K T EH
хонхо	H O N H EH
хоол	H OOh L
хоолойтой	H OOh L EE T EE
хоолоор	H OOh L OOh R
хоолтой	H OOh L T EE
хоорондоо	H OOh R EH N D EH
хоорондын	H OOh R EH N D Y NG
хооһон	H OOh HH EH NG
хореография	H O RJ E O G R A FJ I A
хори	H O RJ I
хоридой	H O RJ I D EE
хориин	H O RJ II NG
хорин	H O RJ I NG
хормойдо	H O R EE D EH
хорогүй	H O R EH Gr UIs
хородог	H O R EH D EH K
хоротой	H O R EH T EE
хорхой	H O R H EE
хорёо	H O RJ OOh
хото	H O T EH
хотодо	H O T EH D EH
хотоһоо	H O T EH HH OOh
хотын	H O T Y NG
хохидоһон	H O HJ I D EH HH EH NG
хоёр	H O J EH R
хоёрдохи	H O J O R D EH HJ I
хубаалдаба	H Uh V AA L V EH
хубаалдажа	H Uh V AA L D EH ZH EH
хубаалдана	H Uh V AA L D EH N EH
хубаалдахыень	H Uh V AA L D EH H Y J EH NJ
хубаалдаһан	H Uh V AA L D EH HH EH NG
хубааралга	H Uh V AA R EH L Gr EH
хубаарилгаар	H Uh V AA RJ I L Gr AA R
хуби	H Uh VJ I
хубида	H Uh VJ I D EH
хубидань	H Uh VJ I D EH NJ
хубиин	H Uh VJ II NG
хубилалтада	H Uh VJ I L EH L T EH D T EH
хубилалтанууд	H Uh VJ I L EH L T EH N UUh T
хубилгаха	H Uh VJ I L Gr EH H EH
хубитаяа	H Uh VJ I T EH J AA
хубсаһа	H Uh P S EH HH EH
хубсаһадтай	H Uh P S EH HH EH T T EE
хубсаһан	H Uh P S EH HH EH NG
хубсаһанда	H Uh P S EH HH EH N D EH
хубсаһатаяа	H Uh P S EH HH EH T EH J AA
худаг	H Uh D EH K
худал	H Uh D EH L
худалдажа	H Uh D EH L ZH EH
хужар	H Uh ZH EH R
хужарлуулыт	H Uh ZH EH R L UUh L Y T
хулгай	H Uh L Gr EE
хулгайшаниие	H Uh L Gr EE SH EH NJ II J EH
хулинсагуудай	H Uh LJ I N S EH Gr UUh D EE
хулинсагуудайнгаа	H Uh LJ I N S EH Gr UUh D EE NG G AA
хулууда	H Uh L UUh D EH
хун	H Uh NG
хурамхаан	H Uh R EH M H AA NG
хурган	H Uh R Gr EH NG
хурдандал	H Uh R D EH N D EH L
хурса	H Uh R S EH
хурсатай	H Uh R S EH T EE
хурьга	H Uh RJ Gr EH
хуу	H UUh
хуубааһан	H Uh V AA HH EH NG
хуурай	H UUh R EE
хуушаранхай	H UUh SH EH R EH NG H EE
хушажархёо	H Uh SH EH ZH EH R HJ OOh
хэ	H E
хэблэгдэнхэй	H E B L EH G D EH N H EE
хэблэгдээн	H E B L EH G D EE NG
хэблэлдэ	H E B L EH L D EH
хэблэлнүүдтэ	H E B L EH L N UUs T T EH
хэблэлэй	H E B L EH L EE
хэбэ	H E V EH
хэбэртэй	H E V EH R T EE
хэгдэжэ	H E G D EH ZH EH
хэды	H E D Y
хэдышье	H E D Y SH J EH
хэдэг	H E D EH K
хэдэн	H E D EH NG
хэжэ	H E ZH EH
хэжэл	H E ZH EH L
хэжэнгын	H E ZH EH NG G Y NG
хэзээ	H E Z EE
хэзээб	H E Z EE P
хэлсэдэг	H E L S EH D EH K
хэлсээ	H E L S EE
хэлсээн	H E L S EE NG
хэлсүүлхэгүйн	H E L S UUs L H EH Gr UIs NG
хэлые	H EH L Y J EH
хэлыень	H EH L Y J EH NJ
хэлэ	H E L EH
хэлэбэ	H EH L EH V EH
хэлэбэл	H E L EH V EH L
хэлэгдээ	H E L EH G D EE
хэлэдэг	H E L EH D EH K
хэлэеэ	H E L EE J EE
хэлэжэ	H E L EH ZH EH
хэлэжэрхидэг	H E L EH ZH E R HJ I D EH K
хэлэмнай	H E L EH M N EE
хэлэн	H E L EH NG
хэлэнгүй	H E L EH NG G UIs
хэлэндэ	H E L EH N D EH
хэлэндэнь	H EH L EH N D EH NJ
хэлэнэ	H E L EH N EH
хэлэнэй	H E L EH N EE
хэлэнэйнгээ	H EH L EH N EE NG G EE
хэлэнүүд	H E L EH N UUs T
хэлэтэй	H E L EH T EE
хэлэхэ	H EH L EH H EH
хэлэхэбши	H EH L EH H EH P SH Y
хэлэхэдэ	H EH L EH H EH D EH
хэлэхэеэ	H EH L EH H EH J EE
хэлэхээр	H E L EH H EE R
хэлээ	H E L EE
хэлээб	H EH L EE P
хэлээгүй	H E L EE Gr UIs
хэлээр	H E L EE R
хэлэһэн	H EH L EH HH EH NG
хэлэһэниинь	H E L EH HH EH NJ II NJ
хэмжээ	H E M ZH EE
хэмжээлгээрээ	H E M ZH EE L Gr EE R EE
хэмжээндэ	H E M ZH EE N D EH
хэмжээнэй	H E M ZH EE N EE
хэмжээтэйгээр	H E M ZH EE T EE Gr EE R
хэн	H E NG
хэнхэй	H E N H EE
хэншье	H E N SH J EH
хэнэбди	H E N EH B DJ I
хэнэй	H E N EE
хэр	H E R
хэрбэеэ	H E R V EH J EE
хэрбээ	H E R V EE
хэрэг	H E R EH K
хэрэггүй	H E R EH G G UIs
хэрэглэгдэхэеэ	H E R EH G L EH G D EH H EH J EE
хэрэглэжэ	H E R EH G L EH ZH EH
хэрэглэн	H E R EH G L EH NG
хэрэглэхэ	H E R EH G L EH H EH
хэрэглэһэн	H E R EH G L EH HH EH NG
хэрэгнай	H E R EH G N EE
хэрэгсэлээ	H E R EH G S EH L EE
хэрэгтэ	H E R EH K T EH
хэрэгтэй	H E R EH K T EE
хэрэгээ	H E R EH Gr EE
хэрэгүүд	H E R EH Gr UUs T
хэрэм	H E R EH M
хэрэнэй	H E R EH N EE
хэсуу	H EH S UUh
хэсүү	H E S UUs
хэтын	H E T Y NG
хэтэдэ	H E T EH D EH
хэхээр	H E H EE R
хэшээл	H E SH EE L
хэшээлынь	H E SH EE L Y NJ
хэшээлээ	H E SH EE L EE
хээлитэй	H EE LJ I T EE
хүбшэргэйе	H Us P SH EH R Gr EE J EH
хүбүүгээ	H Us V UUs Gr EE
хүбүүд	H Us V UUs T
хүбүүдтэй	H Us V UUs T T EE
хүбүүдые	H Us V UUs D Y J EH
хүбүүдэй	H Us V UUs D EE
хүбүүдээ	H Us V UUs D EE
хүбүүе	H Us V UUs J EH
хүбүүмнай	H Us V UUs M N EE
хүбүүн	H Us V UUs NG
хүбүүндэ	H Us V UUs N D EH
хүбүүндээ	H Us V UUs N D EE
хүбүүтэйб	H Us V UUs T EE P
хүбүүхэн	H Us V UUs H EH NG
хүбүүхэнэй	H Us V UUs H EH N EE
хүгжэлтые	H Us G ZH EH L T Y J EH
хүгжэлтын	H Us G ZH EH L T Y NG
хүгжэлтэ	H Us G ZH EH L T EH
хүгжэлтэдэ	H Us G ZH EH L T EH D EH
хүгжэм	H Us G ZH EH M
хүгжэмшэд	H Us G ZH EH M SH EH T
хүгжэмөөр	H Us G ZH EH M OOs R
хүгжэнги	H Us G ZH EH NG GJ I
хүгжэхэ	H Us G ZH EH H EH
хүгжэһэн	H Us G ZH EH HH EH NG
хүгжөө	H Us G ZH OOs
хүгжөөжэ	H Us G ZH OOs ZH EH
хүгжөөлхэдэ	H Us G ZH OOs L H EH D EH
хүгжөөнэ	H Us G ZH OOs N EH
хүгжөөнэгүй	H Us G ZH OOs N EH Gr UIs
хүгжөөхөөр	H Us G ZH OOs H OOs R
хүгшэд	H Us G SH EH T
хүгшэдые	H Us G SH EH D Y J EH
хүгшэн	H Us G SH EH NG
хүдэлгэн	H Us D EH L Gr EH NG
хүдэлгэһэнөө	H Us D EH L Gr EH HH EH N OOh
хүдэлгүүр	H Us D EH L Gr UUs R
хүдэлгүүртэй	H Us D EH L Gr UUs R T EE
хүдэлгөөжэ	H Us D EH L Gr OOs ZH EH
хүдэлдэг	H Us D EH L D EH K
хүдэлжэ	H Us D EH L ZH EH
хүдэлмэридэ	H Us D EH L M EH RJ I D EH
хүдэлмэрилжэ	H Us D EH L M EH RJ I L ZH EH
